anxiety_level,self_esteem,living_conditions,basic_needs,academic_performance,study_load,teacher_student_relationship,future_career_concerns,social_support,peer_pressure,extracurricular_activities,bullying,stress_level
14,18,2,2,3,2,2,3,3,3,2,2,1
2,26,3,4,5,2,5,1,3,2,1,1,0
13,25,2,3,3,2,3,2,2,3,3,2,1
19,5,2,2,1,4,1,5,1,4,4,5,2
16,12,1,2,2,3,2,4,1,5,4,4,2
15,13,1,1,2,5,1,4,1,5,4,4,2
14,16,2,4,0,1,0,2,0,0,4,5,0
10,18,2,3,2,3,2,3,3,2,2,3,1
13,16,3,3,2,3,3,2,2,3,3,2,1
15,13,2,2,1,5,1,5,1,5,4,4,2
4,25,4,4,5,2,5,1,3,2,1,1,0
0,28,4,5,5,1,5,1,3,2,2,1,0
3,10,2,5,4,3,4,3,1,2,4,3,2
2,15,3,5,4,4,3,3,1,3,1,3,2
15,7,2,2,1,3,1,5,1,4,4,5,2
10,25,3,2,3,2,2,3,2,2,2,2,1
21,1,1,1,1,4,2,5,1,5,5,5,2
6,4,4,1,4,4,3,0,0,0,3,2,2
19,3,1,2,2,5,1,4,1,4,4,5,2
9,13,2,5,2,4,1,4,1,2,5,1,0
4,29,4,5,5,1,4,1,3,1,2,1,0
20,10,2,1,2,4,1,5,1,4,4,4,2
19,16,3,1,2,0,0,3,1,0,5,5,0
6,11,3,2,0,3,2,1,1,2,0,1,0
19,11,1,2,1,4,2,4,1,5,5,5,2
13,20,3,2,3,2,3,2,3,3,3,3,1
1,30,3,5,5,1,4,1,3,1,1,1,0
7,17,1,1,2,1,1,1,0,1,0,3,2
11,17,2,3,2,2,2,3,3,2,3,3,1
9,12,1,4,0,1,1,1,1,3,4,3,2
4,26,3,4,5,1,4,1,3,1,2,1,0
21,0,1,1,2,5,1,4,1,4,4,4,2
18,6,0,3,3,4,3,3,1,5,1,4,2
